Frequency	Gain
4630.00000	-16.42789
4635.00000	-15.10477
4640.00000	-17.19316
4645.00000	-20.11814
4650.00000	-22.58113
4655.00000	-24.52746
4660.00000	-26.08987
4665.00000	-27.35389
4670.00000	-28.19928
4675.00000	-29.25643
4680.00000	-29.99539
4685.00000	-30.59879
4690.00000	-31.08611
4695.00000	-31.46933
4700.00000	-31.69269
4705.00000	-31.88128
4710.00000	-31.82131
4715.00000	-32.02213
4720.00000	-28.78669
4725.00000	-32.04092
4730.00000	-31.88290
4735.00000	-31.62893
4740.00000	-31.30148
4745.00000	-30.86270
4750.00000	-30.34620
4755.00000	-29.69912
4760.00000	-28.93375
4765.00000	-27.90313
4770.00000	-26.90791
4775.00000	-25.56927
4780.00000	-23.92169
4785.00000	-21.86478
4790.00000	-19.29721
4795.00000	-16.37677
4800.00000	-14.84308
4805.00000	-16.72043
4810.00000	-19.66319
4815.00000	-22.19281
4820.00000	-24.21271
4825.00000	-25.83333
4830.00000	-27.17613
4835.00000	-28.24627
4840.00000	-29.17616
4845.00000	-29.94125
4850.00000	-30.59952
4855.00000	-31.12669
4860.00000	-31.55653
4865.00000	-31.89724
4870.00000	-32.14230
4875.00000	-32.30064
4880.00000	-32.41604
4885.00000	-32.44049
4890.00000	-32.39012
4895.00000	-32.23451
4900.00000	-32.04085
4905.00000	-31.77203
4910.00000	-31.39312
4915.00000	-30.91007
4920.00000	-30.32570
4925.00000	-29.62143
4930.00000	-28.74785
4935.00000	-27.75101
4940.00000	-26.49427
4945.00000	-24.99984
4950.00000	-23.12454
4955.00000	-20.78201
4960.00000	-17.95663
4965.00000	-15.55854
4970.00000	-16.16451
4975.00000	-18.95025
4980.00000	-21.64594
4985.00000	-23.83009
4990.00000	-25.57929
4995.00000	-27.00493
5000.00000	-28.16114
5005.00000	-29.13149
5010.00000	-29.95303
5015.00000	-30.60448
5020.00000	-31.16663
5025.00000	-31.61478
5030.00000	-31.98064
5035.00000	-32.24817
5040.00000	-32.42163
5045.00000	-32.52897
5050.00000	-32.57375
5055.00000	-32.52380
5060.00000	-32.39011
5065.00000	-32.19046
5070.00000	-31.91311
5075.00000	-31.53948
5080.00000	-31.08832
5085.00000	-30.55445
5090.00000	-29.85814
5095.00000	-29.02504
5100.00000	-28.00357
5105.00000	-26.77052
5110.00000	-25.27064
5115.00000	-23.41932
5120.00000	-21.10396
5125.00000	-18.32570
5130.00000	-15.95043
5135.00000	-16.47346
5140.00000	-19.19174
5145.00000	-21.87585
5150.00000	-24.06092
5155.00000	-25.81265
5160.00000	-27.24077
5165.00000	-28.40611
5170.00000	-29.38423
5175.00000	-30.19360
5180.00000	-30.86053
5185.00000	-31.41065
5190.00000	-31.86948
5195.00000	-32.18626
5200.00000	-32.46344
5205.00000	-32.68810
5210.00000	-32.78720
5215.00000	-32.80225
5220.00000	-32.77490
5225.00000	-32.67083
5230.00000	-32.47773
5235.00000	-32.21060
5240.00000	-31.90442
5245.00000	-31.49400
5250.00000	-30.93879
5255.00000	-30.24618
5260.00000	-29.40979
5265.00000	-28.48720
5270.00000	-27.29147
5275.00000	-25.84594
5280.00000	-24.06581
